,name,company,year,Price,kms_driven,fuel_type,Transmission Type,No. of Previous Owners
356,Skoda Rapid Elegance,Skoda,2013,340000,48000,Diesel,Manual,5
357,Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel,Manual,3
358,Maruti Suzuki Alto,Maruti,2015,265000,12000,Petrol,Automatic,1
359,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel,Automatic,2
360,Maruti Suzuki Zen,Maruti,2003,85000,69900,Petrol,Automatic,3
361,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel,Automatic,2
362,Hyundai i10 Magna,Hyundai,2011,175000,45000,Petrol,Manual,5
363,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol,Automatic,1
364,Maruti Suzuki Swift,Maruti,2016,350000,166000,Diesel,Automatic,5
365,Honda City ZX,Honda,2008,149000,42000,Petrol,Automatic,2
366,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel,Automatic,2
367,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel,Manual,4
368,Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel,Automatic,2
369,Honda City 1.5,Honda,2010,225000,70000,Petrol,Manual,2
370,Hyundai Verna 1.4,Hyundai,2014,375000,36000,Petrol,Manual,3
371,Toyota Innova 2.5,Toyota,2012,770000,0,Diesel,Automatic,5
372,Maruti Suzuki Maruti,Maruti,1995,30000,55000,Petrol,Automatic,4
373,Toyota Etios,Toyota,2011,275000,36000,Diesel,Automatic,3
374,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel,Automatic,5
375,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel,Automatic,1
376,Hyundai Elite i20,Hyundai,2015,450000,20000,Diesel,Automatic,1
377,Maruti Suzuki Swift,Maruti,2012,225000,40000,Petrol,Automatic,1
378,Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol,Manual,2
379,Tata Indigo LX,Tata,2016,130000,104000,Diesel,Manual,5
380,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel,Automatic,4
381,Mercedes Benz C,Mercedes,2002,399000,41000,Petrol,Automatic,2
382,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel,Manual,2
383,Honda City,Honda,2000,65000,80000,Petrol,Manual,4
384,Hyundai Santro Xing,Hyundai,2006,75000,46000,Petrol,Automatic,2
385,Maruti Suzuki Omni,Maruti,2001,70000,70000,Petrol,Automatic,3
386,Hyundai Sonata Transform,Hyundai,2017,190000,36469,Diesel,Manual,2
387,Hyundai Elite i20,Hyundai,2018,600000,7800,Petrol,Manual,4
388,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel,Automatic,4
389,Maruti Suzuki Alto,Maruti,2017,240000,60000,Petrol,Manual,3
390,Maruti Suzuki Alto,Maruti,2011,155000,32000,Petrol,Manual,2
391,Honda Jazz S,Honda,2009,169999,24695,Petrol,Manual,1
392,Hyundai Grand i10,Hyundai,2017,450000,15141,Petrol,Automatic,5
393,Maruti Suzuki Zen,Maruti,2001,40000,40000,Petrol,Manual,4
394,Mahindra Scorpio W,Mahindra,2012,165000,65000,Diesel,Automatic,1
395,Maruti Suzuki Alto,Maruti,2014,270000,22000,Petrol,Manual,4
396,Hyundai Grand i10,Hyundai,2016,280000,59910,Diesel,Manual,1
397,Mahindra XUV500 W8,Mahindra,2012,560000,100000,Diesel,Automatic,2
398,Hyundai Creta 1.6,Hyundai,2016,950000,25000,Petrol,Automatic,2
399,Hyundai i20 Magna,Hyundai,2013,310000,35000,Petrol,Manual,1
400,Renault Duster 85,Renault,2015,715000,65000,Diesel,Automatic,2
401,Hyundai Grand i10,Hyundai,2014,340000,35000,Petrol,Automatic,1
402,Honda Brio V,Honda,2012,235000,33000,Petrol,Manual,4
403,Mahindra TUV300 T4,Mahindra,2017,610000,68000,Diesel,Manual,1
404,Chevrolet Spark LS,Chevrolet,2010,95000,23000,Petrol,Automatic,1
405,Mahindra TUV300 T8,Mahindra,2018,1000000,4500,Diesel,Automatic,3
406,Maruti Suzuki Swift,Maruti,2015,220000,129000,Diesel,Automatic,3
407,Nissan X Trail,Nissan,2019,1200000,300,Diesel,Manual,2
408,Maruti Suzuki Alto,Maruti,2015,230000,5000,Petrol,Manual,2
409,Ford Ikon 1.3,Ford,2001,45000,65000,Petrol,Automatic,4
410,Toyota Fortuner 3.0,Toyota,2010,940000,131000,Diesel,Automatic,3
411,Tata Manza ELAN,Tata,2010,155555,111111,Petrol,Automatic,4
412,Mercedes Benz A,Mercedes,2013,1500000,14000,Petrol,Manual,3
413,Chevrolet Beat LS,Chevrolet,2016,210000,22000,Diesel,Automatic,3
414,Ford EcoSport Trend,Ford,2013,495000,38000,Diesel,Automatic,4
415,Tata Indigo LS,Tata,2016,125000,70000,Diesel,Manual,3
416,Hyundai i20 Magna,Hyundai,2010,195000,36000,Petrol,Manual,1
417,Volkswagen Vento Highline,Volkswagen,2015,550000,34000,Diesel,Automatic,2
418,Renault Kwid RXT,Renault,2015,270000,43000,Petrol,Manual,5
419,Ford EcoSport Titanium,Ford,2014,500000,40000,Diesel,Automatic,3
420,Honda Amaze 1.5,Honda,2016,240000,160000,Diesel,Manual,1
421,Hyundai Verna 1.6,Hyundai,2017,800000,12000,Petrol,Manual,4
422,BMW 5 Series,BMW,2011,1299000,49000,Diesel,Manual,1
423,Skoda Superb 1.8,Skoda,2011,530000,68000,Petrol,Manual,3
424,Audi Q3 2.0,Audi,2013,1499000,37000,Diesel,Manual,3
425,Mahindra Bolero DI,Mahindra,2012,220000,59466,Diesel,Manual,5
426,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Automatic,2
427,Ford Figo Duratorq,Ford,2012,250000,99000,Diesel,Automatic,5
428,Maruti Suzuki Wagon,Maruti,2018,395000,25500,Petrol,Manual,1
429,Mahindra Logan Diesel,Mahindra,2009,130000,66000,Petrol,Manual,3
430,Tata Nano GenX,Tata,2010,32000,44005,Petrol,Manual,2
431,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel,Manual,1
432,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel,Manual,3
433,Hyundai Elite i20,Hyundai,2015,405000,28000,Petrol,Manual,3
434,Hyundai Elite i20,Hyundai,2015,400000,30000,Petrol,Automatic,5
435,Honda City SV,Honda,2017,760000,4000,Petrol,Manual,5
436,Maruti Suzuki Baleno,Maruti,2016,500000,28000,Petrol,Automatic,3
437,Ford Figo Petrol,Ford,2011,175000,75000,Petrol,Automatic,3
438,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Automatic,4
439,Honda City,Honda,2017,750000,3000,Petrol,Automatic,5
440,Hyundai Elite i20,Hyundai,2015,419000,20000,Petrol,Manual,1
441,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol,Manual,1
442,Hyundai Eon Era,Hyundai,2018,140000,2110,Petrol,Manual,1
443,Mitsubishi Pajero Sport,Mitsubishi,2015,1540000,43222,Petrol,Automatic,4
444,Hyundai i10 Magna,Hyundai,2008,275000,100200,Petrol,Automatic,5
445,Toyota Corolla H2,Toyota,2003,150000,100000,Petrol,Manual,5
446,Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol,Manual,5
447,Tata Indigo CS,Tata,2015,123000,100000,Diesel,Manual,3
448,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Manual,1
449,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Automatic,4
450,Hyundai Xcent Base,Hyundai,2016,300000,140000,Diesel,Manual,5
451,Honda City,Honda,2015,499999,55000,Petrol,Manual,1
452,Hyundai Accent Executive,Hyundai,2009,165000,48000,Petrol,Manual,2
453,Maruti Suzuki Baleno,Maruti,2016,498000,22000,Petrol,Manual,4
454,Tata Zest XE,Tata,2018,480000,103553,Diesel,Automatic,3
455,Maruti Suzuki Dzire,Maruti,2017,488000,80000,Diesel,Manual,3
456,Tata Sumo Gold,Tata,2014,250000,99000,Diesel,Manual,3
457,Toyota Corolla Altis,Toyota,2010,220000,58000,Petrol,Manual,1
458,Maruti Suzuki Eeco,Maruti,2013,290000,70000,LPG,Manual,5
459,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel,Automatic,2
460,Mahindra XUV500 W6,Mahindra,2013,548900,49800,Diesel,Automatic,1
461,Tata Tigor Revotron,Tata,2019,650000,100,Diesel,Automatic,4
462,Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol,Automatic,2
463,Maruti Suzuki Ertiga,Maruti,2015,550000,75000,Petrol,Manual,1
464,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol,Automatic,1
465,Honda Mobilio S,Honda,2014,399000,44000,Diesel,Automatic,1
466,Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel,Manual,1
467,Maruti Suzuki Vitara,Maruti,2017,725000,36000,Diesel,Manual,1
468,Hyundai Verna 1.6,Hyundai,2016,195000,56000,Diesel,Automatic,3
469,Maruti Suzuki Swift,Maruti,2007,130000,62000,Petrol,Manual,4
470,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel,Manual,4
471,Maruti Suzuki Omni,Maruti,2014,190000,6020,Petrol,Manual,5
472,Honda Amaze,Honda,2013,250000,55700,Diesel,Automatic,1
473,Tata Indica,Tata,2005,80000,42000,Petrol,Automatic,5
474,Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol,Manual,1
475,Maruti Suzuki Zen,Maruti,2010,149000,35000,Petrol,Manual,4
476,Maruti Suzuki Wagon,Maruti,2014,250000,18500,Petrol,Automatic,5
477,Maruti Suzuki Wagon,Maruti,2007,120000,7000,Petrol,Manual,1
478,Honda Brio VX,Honda,2017,450000,11000,Petrol,Automatic,4
479,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol,Automatic,5
480,Maruti Suzuki Zen,Maruti,2008,135000,23000,Petrol,Automatic,4
481,Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel,Manual,1
482,Maruti Suzuki Alto,Maruti,2010,99000,22134,Petrol,Manual,1
483,Renault Kwid RXT,Renault,2019,370000,1000,Petrol,Automatic,2
484,Tata Nano Lx,Tata,2010,52000,9000,Petrol,Automatic,5
485,Jaguar XE XE,Jaguar,2016,2800000,8500,Petrol,Manual,5
486,Hyundai Eon Magna,Hyundai,2014,190000,35000,Petrol,Automatic,1
487,Honda City 1.5,Honda,2014,499000,22000,Petrol,Manual,5
488,Hindustan Motors Ambassador,Hindustan,2002,90000,25000,Diesel,Automatic,5
489,Maruti Suzuki Ritz,Maruti,2010,149000,40000,Petrol,Manual,2
490,Hyundai Grand i10,Hyundai,2017,400000,20000,Petrol,Manual,4
491,Hyundai Eon D,Hyundai,2016,120000,87000,Petrol,Manual,3
492,Maruti Suzuki Swift,Maruti,2015,250000,55000,Petrol,Manual,2
493,Maruti Suzuki Wagon,Maruti,2017,375000,23000,Petrol,Manual,1
494,Honda Amaze 1.2,Honda,2014,381000,6000,Petrol,Manual,5
495,Maruti Suzuki Estilo,Maruti,2013,180000,65000,Petrol,Automatic,2
496,Maruti Suzuki Vitara,Maruti,2016,580000,25000,Diesel,Automatic,1
497,Maruti Suzuki Eeco,Maruti,2015,278000,39000,Petrol,Manual,2
498,Hyundai Creta 1.6,Hyundai,2016,1000000,8000,Petrol,Automatic,5
499,Mahindra Scorpio Vlx,Mahindra,2013,690000,75000,Diesel,Automatic,3
500,Maruti Suzuki Ertiga,Maruti,2012,480000,51000,Diesel,Automatic,3
501,Mitsubishi Lancer 1.8,Mitsubishi,2006,85000,50000,Petrol,Manual,1
502,Maruti Suzuki Maruti,Maruti,2001,40000,75000,Petrol,Automatic,2
503,Maruti Suzuki Alto,Maruti,2015,90000,55800,Petrol,Manual,1
504,Hyundai Grand i10,Hyundai,2015,340000,53000,Petrol,Automatic,3
505,Hyundai Eon D,Hyundai,2018,260000,25000,Petrol,Automatic,1
506,Ford Fiesta SXi,Ford,2009,250000,56400,Petrol,Automatic,4
507,Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel,Automatic,5
508,Hyundai Verna Fluidic,Hyundai,2012,350000,10000,Diesel,Manual,5
509,Maruti Suzuki Wagon,Maruti,2006,90001,48000,Petrol,Manual,5
510,Maruti Suzuki Estilo,Maruti,2007,115000,36000,Petrol,Manual,2
511,Audi A6 2.0,Audi,2012,1599000,11500,Diesel,Automatic,2
512,Maruti Suzuki Wagon,Maruti,2003,130000,133000,Petrol,Manual,5
513,Maruti Suzuki Wagon,Maruti,2009,159000,27000,Petrol,Automatic,1
514,Maruti Suzuki Wagon,Maruti,2009,160000,35000,Petrol,Manual,4
515,Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol,Automatic,5
516,Maruti Suzuki Baleno,Maruti,2016,425000,40000,Petrol,Manual,5
517,Hyundai Verna 1.6,Hyundai,2019,900000,2000,Petrol,Automatic,4
518,Maruti Suzuki Swift,Maruti,2009,150000,45000,Petrol,Automatic,1
519,Hyundai Getz Prime,Hyundai,2009,110000,20000,Petrol,Automatic,5
520,Hyundai Santro,Hyundai,2000,51999,88000,Petrol,Automatic,5
521,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol,Automatic,2
522,Chevrolet Beat PS,Chevrolet,2012,215000,65422,Diesel,Manual,1
523,Ford EcoSport Trend,Ford,2017,580000,10000,Petrol,Automatic,5
524,Maruti Suzuki Dzire,Maruti,2013,380000,35000,Petrol,Automatic,1
525,Hyundai Fluidic Verna,Hyundai,2013,350000,117000,Diesel,Manual,2
526,Tata Indica V2,Tata,2005,35000,150000,Diesel,Manual,4
527,BMW X1 xDrive20d,BMW,2011,1150000,72000,Diesel,Manual,3
528,Hyundai i20 Asta,Hyundai,2010,300000,10750,Petrol,Automatic,2
529,Honda City 1.5,Honda,2009,269000,55000,Petrol,Manual,2
530,Tata Nano,Tata,2013,60000,6800,Petrol,Automatic,1
531,Chevrolet Cruze LTZ,Chevrolet,2014,400000,41000,Diesel,Automatic,4
532,Hyundai Verna Fluidic,Hyundai,2015,430000,73000,Diesel,Manual,1
533,Maruti Suzuki Swift,Maruti,2011,140000,65000,Diesel,Automatic,2
534,Mahindra XUV500 W10,Mahindra,2018,1299000,40000,Diesel,Manual,4
535,Maruti Suzuki Alto,Maruti,2014,199000,37000,Petrol,Automatic,3
536,Hyundai Accent GLE,Hyundai,2006,90000,55000,Petrol,Manual,1
537,Force Motors One,Force,2013,550000,140000,Diesel,Manual,1
538,Maruti Suzuki Alto,Maruti,2019,265000,9800,Petrol,Manual,1
539,Chevrolet Spark 1.0,Chevrolet,2011,100000,27000,Petrol,Automatic,1
540,Hyundai i10,Hyundai,2009,215000,27000,Petrol,Automatic,3
541,Toyota Etios Liva,Toyota,2012,380000,20000,Diesel,Manual,2
542,Renault Duster 85PS,Renault,2013,401919,57923,Diesel,Automatic,5
543,Chevrolet Enjoy,Chevrolet,2014,490000,30201,Diesel,Manual,5
544,Maruti Suzuki Alto,Maruti,2017,280000,6200,Petrol,Automatic,5
545,BMW 5 Series,BMW,2009,650000,37518,Petrol,Manual,2
546,Toyota Etios Liva,Toyota,2014,160000,24652,Petrol,Manual,5
547,Mahindra Jeep MM,Mahindra,2004,424000,383,Diesel,Automatic,2
548,Chevrolet Beat LS,Chevrolet,2016,225000,95000,Diesel,Automatic,3
549,Chevrolet Cruze LTZ,Chevrolet,2011,350000,35000,Diesel,Automatic,3
550,Jeep Wrangler Unlimited,Jeep,2015,950000,3528,Diesel,Automatic,2
551,Maruti Suzuki Ertiga,Maruti,2013,485000,52500,Diesel,Manual,5
552,Hyundai Verna VGT,Hyundai,2010,205000,47900,Diesel,Manual,3
553,Maruti Suzuki Omni,Maruti,2012,160000,14000,Petrol,Automatic,4
554,Maruti Suzuki Celerio,Maruti,2018,310000,37000,Petrol,Automatic,4
555,Tata Zest Quadrajet,Tata,2017,180000,90000,Diesel,Manual,3
556,Mahindra XUV500 W6,Mahindra,2013,549900,52800,Diesel,Manual,4
557,Tata Indigo CS,Tata,2016,150000,104000,Diesel,Manual,3
558,Hyundai i10 Era,Hyundai,2011,175000,30000,Petrol,Automatic,5
559,Tata Indigo eCS,Tata,2014,95000,195000,Diesel,Manual,1
560,Tata Indigo LX,Tata,2016,230000,104000,Diesel,Manual,3
561,Tata Indigo eCS,Tata,2016,230000,104000,Diesel,Manual,3
562,Tata Indigo Marina,Tata,2004,180000,70000,Diesel,Automatic,3
563,Hyundai Xcent SX,Hyundai,2015,400000,43000,Diesel,Manual,2
564,Hyundai Eon Magna,Hyundai,2013,185000,23000,Petrol,Manual,1
565,Renault Duster 85,Renault,2015,385000,51000,Diesel,Automatic,4
566,Maruti Suzuki Alto,Maruti,2009,90000,62000,Petrol,Automatic,4
567,Tata Nano LX,Tata,2010,32000,48008,Petrol,Automatic,5
568,Renault Duster 110,Renault,2013,435000,39000,Diesel,Manual,3
569,Maruti Suzuki Wagon,Maruti,2010,225000,40000,Petrol,Manual,5
570,Maruti Suzuki Swift,Maruti,2006,189700,48247,Petrol,Automatic,4
571,Maruti Suzuki Ertiga,Maruti,2012,389700,39000,Diesel,Manual,4
572,Maruti Suzuki Swift,Maruti,2014,365000,23000,Petrol,Automatic,4
573,Maruti Suzuki Alto,Maruti,2017,360000,9400,Petrol,Automatic,4
574,Hyundai i20 Magna,Hyundai,2010,210000,50000,Petrol,Manual,1
575,Hyundai i10 Magna,Hyundai,2009,170000,75000,Petrol,Automatic,3
576,Tata Zest XE,Tata,2017,380000,70000,Diesel,Automatic,2
577,Mahindra Xylo E8,Mahindra,2009,295000,64000,Diesel,Automatic,4
578,Toyota Corolla Altis,Toyota,2010,185000,55000,Petrol,Automatic,5
579,Tata Manza Aqua,Tata,2014,160000,200000,Diesel,Manual,3
580,Renault Kwid 1.0,Renault,2018,290000,2137,Petrol,Automatic,3
581,Tata Venture EX,Tata,2013,100000,30000,Diesel,Manual,3
582,Maruti Suzuki Swift,Maruti,2014,315000,44000,Petrol,Automatic,4
583,Skoda Octavia Classic,Skoda,2006,114990,65000,Diesel,Automatic,4
584,Maruti Suzuki Omni,Maruti,2012,120000,160000,LPG,Automatic,2
585,Chevrolet Beat Diesel,Chevrolet,2011,125000,56000,Diesel,Manual,1
586,Tata Sumo Gold,Tata,2012,210000,75000,Diesel,Manual,5
587,Hyundai Verna 1.6,Hyundai,2018,855000,42000,Diesel,Automatic,4
588,Tata Sumo Gold,Tata,2012,210000,75000,Diesel,Automatic,3
589,Mahindra Scorpio 2.6,Mahindra,2007,260000,56000,Diesel,Automatic,3
590,Maruti Suzuki Zen,Maruti,2002,95000,10544,Petrol,Automatic,5
591,Maruti Suzuki Swift,Maruti,2011,255000,64000,Petrol,Automatic,4
592,Mahindra Scorpio SLX,Mahindra,2008,300000,70000,Diesel,Automatic,5
593,Hyundai Grand i10,Hyundai,2014,340000,25000,Petrol,Manual,5
594,Hyundai Elite i20,Hyundai,2017,550000,15000,Petrol,Manual,3
595,Ford Ikon 1.6,Ford,2003,60000,50000,Petrol,Manual,3
596,Toyota Innova 2.5,Toyota,2011,750000,147000,Diesel,Manual,3
597,Nissan Sunny XL,Nissan,2011,230000,52000,Petrol,Manual,2
598,Chevrolet Beat LT,Chevrolet,2012,130000,90001,Diesel,Manual,3
599,Maruti Suzuki Alto,Maruti,2017,270000,21000,Petrol,Automatic,5
600,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel,Manual,4
601,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel,Automatic,1
602,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel,Manual,4
603,Toyota Innova 2.0,Toyota,2012,600000,80000,Diesel,Automatic,5
604,Maruti Suzuki Swift,Maruti,2010,190000,74000,Diesel,Manual,5
605,Hyundai Elite i20,Hyundai,2015,500000,22000,Petrol,Manual,5
606,Mahindra XUV500 W10,Mahindra,2016,1065000,41000,Diesel,Automatic,2
607,Volkswagen Polo Trendline,Volkswagen,2015,350000,25000,Diesel,Manual,2
608,Toyota Etios Liva,Toyota,2012,350000,85000,Diesel,Automatic,1
609,Mahindra TUV300 T4,Mahindra,2016,540000,29500,Diesel,Automatic,4
610,Hyundai Elite i20,Hyundai,2015,470000,30000,Petrol,Manual,4
611,Hyundai Santro Xing,Hyundai,2014,179000,57000,Petrol,Automatic,4
612,Maruti Suzuki Zen,Maruti,2003,48000,60000,Petrol,Automatic,2
613,Maruti Suzuki Ciaz,Maruti,2016,650000,50000,Petrol,Manual,4
614,Hyundai Eon Era,Hyundai,2013,190000,39700,Petrol,Automatic,2
615,Hyundai Elantra 1.8,Hyundai,2012,500000,65000,Petrol,Automatic,2
616,Maruti Suzuki Swift,Maruti,2010,270000,67000,Diesel,Manual,1
617,Maruti Suzuki Zen,Maruti,2008,125000,46000,Petrol,Automatic,1
618,Hyundai Eon Era,Hyundai,2012,188000,38000,Petrol,Manual,3
619,Hyundai Grand i10,Hyundai,2016,380000,27000,Petrol,Manual,1
620,Hyundai Verna Fluidic,Hyundai,2011,365000,43000,Diesel,Manual,2
621,Ford EcoSport Trend,Ford,2014,465000,47000,Petrol,Manual,5
622,Hyundai i20 Magna,Hyundai,2011,240000,42000,Petrol,Automatic,5
623,Chevrolet Beat Diesel,Chevrolet,2016,179999,19336,Diesel,Automatic,1
624,Tata Indica eV2,Tata,2015,140000,60105,Diesel,Automatic,5
625,Jaguar XF 2.2,Jaguar,2013,2190000,29000,Diesel,Manual,2
626,Audi Q5 2.0,Audi,2014,2390000,34000,Diesel,Automatic,3
627,BMW 3 Series,BMW,2011,1075000,35000,Diesel,Manual,3
628,Maruti Suzuki Swift,Maruti,2015,475000,22000,Petrol,Automatic,5
629,BMW X1 sDrive20d,BMW,2012,1025000,41000,Diesel,Automatic,5
630,Maruti Suzuki S,Maruti,2016,615000,21000,Diesel,Manual,3
631,Maruti Suzuki Ertiga,Maruti,2013,475000,48000,Diesel,Automatic,4
632,Maruti Suzuki Alto,Maruti,2016,270000,38000,Petrol,Manual,1
633,Honda City SV,Honda,2014,475000,34000,Diesel,Manual,3
634,Volkswagen Vento Comfortline,Volkswagen,2011,240000,45933,Petrol,Automatic,4
635,Honda City 1.5,Honda,2005,120000,68000,Petrol,Automatic,1
636,Audi A4 2.0,Audi,2016,1900000,44000,Diesel,Automatic,1
637,Mahindra KUV100,Mahindra,2017,360000,35000,Diesel,Manual,3
638,Tata Zest XE,Tata,2018,450000,102563,Diesel,Manual,3
639,Mahindra XUV500 W8,Mahindra,2015,900000,28600,Diesel,Manual,2
640,Maruti Suzuki Swift,Maruti,2017,650000,41800,Diesel,Manual,4
641,Tata Sumo Gold,Tata,2014,275000,116000,Diesel,Manual,4
642,Maruti Suzuki Swift,Maruti,2009,210000,59000,Petrol,Automatic,3
643,Mahindra Scorpio 2.6,Mahindra,2004,175000,58000,Diesel,Manual,2
644,Maruti Suzuki Omni,Maruti,2009,85000,45000,Petrol,Automatic,3
645,Mitsubishi Pajero Sport,Mitsubishi,2015,1490000,42590,Diesel,Manual,1
646,Renault Duster,Renault,2014,800000,7400,Diesel,Automatic,5
647,Volkswagen Jetta Comfortline,Volkswagen,2009,450000,54500,Diesel,Manual,4
648,Maruti Suzuki Ertiga,Maruti,2012,1000000,200000,Diesel,Manual,4
649,Audi A4 2.0,Audi,2013,1510000,27000,Diesel,Manual,5
650,Volvo S80 Summum,Volvo,2015,1850000,42000,Diesel,Manual,4
651,Toyota Corolla Altis,Toyota,2014,790000,29000,Petrol,Automatic,1
652,Mitsubishi Pajero Sport,Mitsubishi,2015,1725000,37000,Diesel,Automatic,1
653,Chevrolet Beat LT,Chevrolet,2012,135000,36000,Petrol,Automatic,3
654,BMW X1,BMW,2011,1000000,34000,Diesel,Automatic,4
655,Datsun Redi GO,Datsun,2018,299999,7000,Petrol,Automatic,3
656,Mercedes Benz C,Mercedes,2009,1225000,76000,Diesel,Manual,5
657,Mahindra Scorpio SLX,Mahindra,2004,175000,60000,Diesel,Manual,5
658,Volkswagen Vento Comfortline,Volkswagen,2011,200000,95000,Diesel,Manual,5
659,Tata Indigo CS,Tata,2017,270000,50000,Diesel,Manual,4
660,Ford Figo Petrol,Ford,2019,525000,0,Petrol,Automatic,1
661,Honda City ZX,Honda,2006,180000,50000,Petrol,Automatic,4
662,Maruti Suzuki Wagon,Maruti,2008,140000,68000,Petrol,Automatic,5
663,Ford EcoSport Trend,Ford,2014,400000,16000,Petrol,Manual,2
664,Maruti Suzuki Swift,Maruti,2016,499000,51000,Diesel,Automatic,3
665,Maruti Suzuki Omni,Maruti,2009,85000,56000,Petrol,Automatic,5
666,Maruti Suzuki Zen,Maruti,2004,70000,100000,Petrol,Automatic,1
667,Renault Duster RxL,Renault,2015,550000,36000,Petrol,Automatic,4
668,Maruti Suzuki Swift,Maruti,2014,370000,11523,Petrol,Manual,4
669,Maruti Suzuki Baleno,Maruti,2018,690000,1000,Petrol,Automatic,5
670,Honda WR V,Honda,2009,250000,60000,Petrol,Manual,5
671,Tata Indigo CS,Tata,2016,110000,85000,Diesel,Automatic,3
672,Renault Duster 110,Renault,2013,490000,38600,Diesel,Automatic,1
673,Mahindra Scorpio LX,Mahindra,2009,320000,95500,Diesel,Manual,1
674,Maruti Suzuki Zen,Maruti,2004,68000,56000,Petrol,Manual,4
675,Maruti Suzuki Wagon,Maruti,2014,130000,37458,Petrol,Manual,5
676,Maruti Suzuki SX4,Maruti,2016,970000,85960,Diesel,Manual,1
677,Audi A3 Cabriolet,Audi,2015,3100000,12516,Petrol,Automatic,3
678,Hyundai Eon D,Hyundai,2018,280000,35000,Petrol,Manual,3
679,Maruti Suzuki Zen,Maruti,2009,125000,0,Petrol,Automatic,3
680,Mahindra Scorpio SLX,Mahindra,2008,285000,80000,Diesel,Manual,2
681,Hyundai Santro AE,Hyundai,2011,165000,45000,Petrol,Automatic,1
682,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel,Automatic,2
683,Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel,Automatic,1
684,Mahindra Xylo D2,Mahindra,2011,390000,48000,Diesel,Manual,5
685,Hyundai Santro,Hyundai,2003,60000,51000,Petrol,Manual,3
686,Chevrolet Beat LT,Chevrolet,2015,215000,90000,Diesel,Automatic,5
687,Maruti Suzuki Swift,Maruti,2015,475000,43000,Diesel,Manual,1
688,Mahindra XUV500 W8,Mahindra,2015,899000,53000,Diesel,Automatic,2
689,Toyota Fortuner 3.0,Toyota,2013,1499000,97000,Diesel,Manual,4
690,Maruti Suzuki Alto,Maruti,2013,240000,20000,Petrol,Manual,1
691,Hyundai Getz GLE,Hyundai,2007,99000,55000,Petrol,Manual,1
692,Maruti Suzuki Swift,Maruti,2014,260000,120000,Diesel,Automatic,5
693,Hyundai Creta 1.6,Hyundai,2019,1200000,0,Petrol,Automatic,5
694,Hyundai Santro Xing,Hyundai,2007,115000,46000,Petrol,Manual,2
695,Hyundai Santro Xing,Hyundai,2009,88000,43200,Petrol,Automatic,3
696,Mahindra Xylo D2,Mahindra,2011,390000,56000,Diesel,Automatic,4
697,Hyundai Santro Xing,Hyundai,2007,135000,42000,Petrol,Manual,4
698,Tata Indica V2,Tata,2009,90000,30600,Diesel,Manual,3
699,Hyundai i10 Sportz,Hyundai,2011,220000,38000,Petrol,Manual,1
700,Hyundai Grand i10,Hyundai,2017,424999,2550,Petrol,Manual,2
701,Hyundai Santro Xing,Hyundai,2007,135000,47000,Petrol,Automatic,2
702,Honda City 1.5,Honda,2005,95000,41000,Petrol,Manual,3
703,Nissan Micra XL,Nissan,2017,430000,62500,Diesel,Automatic,4
704,Honda City 1.5,Honda,2005,115000,68000,Petrol,Manual,4
705,Maruti Suzuki Alto,Maruti,2015,215000,50000,Petrol,Automatic,4
